ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSO,ALUNNI,ALUNNICITTADINANZAITALIANA,ALUNNICITTADINANZANONITALIANA,ALUNNICITTADINANZANONITALIANAPAESIUE,ALUNNICITTADINANZANONITALIANAPAESINONUE
202425,BORH050003,SCUOLA SECONDARIA II GRADO,3,114,89,25,3,22
202425,MNEE812018,SCUOLA PRIMARIA,1,42,40,2,1,1
202425,PSEE84303D,SCUOLA PRIMARIA,2,26,24,2,1,1
202425,CTEE8BG02C,SCUOLA PRIMARIA,1,16,16,0,0,0
202425,LEMM85601G,SCUOLA SECONDARIA I GRADO,2,55,54,1,0,1
202425,MIEE8GE02X,SCUOLA PRIMARIA,1,30,13,17,2,15
202425,VBEE81209L,SCUOLA PRIMARIA,5,15,15,0,0,0
202425,BOEE838017,SCUOLA PRIMARIA,5,20,18,2,0,2
202425,PNEE822046,SCUOLA PRIMARIA,4,38,31,7,3,4
202425,RCPC019019,SCUOLA SECONDARIA II GRADO,1,36,33,3,0,3
202425,TOEE8AZ01E,SCUOLA PRIMARIA,4,54,35,19,7,12
202425,CNEE863025,SCUOLA PRIMARIA,3,45,38,7,0,7
202425,LUEE83405N,SCUOLA PRIMARIA,5,23,23,0,0,0
202425,LIEE817019,SCUOLA PRIMARIA,1,26,22,4,0,4
202425,CTEE8BN02R,SCUOLA PRIMARIA,3,121,118,3,0,3
202425,CNEE80804P,SCUOLA PRIMARIA,4,38,35,3,1,2
202425,AGPS030009,SCUOLA SECONDARIA II GRADO,5,229,225,4,1,3
202425,CHEE812058,SCUOLA PRIMARIA,3,16,16,0,0,0
202425,RMMM898013,SCUOLA SECONDARIA I GRADO,3,140,124,16,14,2
202425,SREE837049,SCUOLA PRIMARIA,1,15,13,2,1,1
202425,APRH016513,SCUOLA SECONDARIA II GRADO,2,14,9,5,0,5
202425,BSEE829024,SCUOLA PRIMARIA,3,26,25,1,0,1
202425,NAEE820018,SCUOLA PRIMARIA,1,53,51,2,0,2
202425,CAMM87802G,SCUOLA SECONDARIA I GRADO,1,21,21,0,0,0
202425,REEE84004N,SCUOLA PRIMARIA,1,23,18,5,0,5
202425,PAEE8A101A,SCUOLA PRIMARIA,2,57,55,2,0,2
202425,VRMM86101X,SCUOLA SECONDARIA I GRADO,1,74,66,8,2,6
202425,CNEE85905L,SCUOLA PRIMARIA,3,12,9,3,1,2
202425,LEEE817045,SCUOLA PRIMARIA,5,33,33,0,0,0
202425,NOMM819034,SCUOLA SECONDARIA I GRADO,1,24,22,2,0,2
202425,VVMM820042,SCUOLA SECONDARIA I GRADO,2,4,3,1,1,0
202425,MITD012014,SCUOLA SECONDARIA II GRADO,2,152,139,13,3,10
202425,MIEE8C6029,SCUOLA PRIMARIA,4,36,18,18,2,16
202425,SIMM80402E,SCUOLA SECONDARIA I GRADO,3,14,14,0,0,0
202425,PAEE84001A,SCUOLA PRIMARIA,3,25,25,0,0,0
202425,TVEE84303T,SCUOLA PRIMARIA,4,39,30,9,2,7
202425,LCEE82601G,SCUOLA PRIMARIA,2,39,36,3,1,2
202425,PDEE85004X,SCUOLA PRIMARIA,5,34,28,6,1,5
202425,ALRC017013,SCUOLA SECONDARIA II GRADO,2,75,57,18,1,17
202425,MOEE040016,SCUOLA PRIMARIA,4,159,121,38,9,29
202425,NUEE880014,SCUOLA PRIMARIA,4,23,23,0,0,0
202425,GEMM86001A,SCUOLA SECONDARIA I GRADO,2,132,116,16,1,15
202425,CSMM86705T,SCUOLA SECONDARIA I GRADO,3,3,3,0,0,0
202425,FIEE826046,SCUOLA PRIMARIA,5,45,30,15,0,15
